member_id,subscription_start,subscription_end,item_id,mode_score,mode_zscore,top_score,median,skew,std,var,kurtosis,model_loops,model_run,member_period,top_zscore,avg_score,std_score,median_score
hemingway-ernest,1921-12-28,1922-11-08,a-e-candle-vision,-0.2422234201642485,-2.6719121908779977,0.3414599795679736,0.08857826149069492,-0.212148402649471,0.12358250870201982,0.015272636457084805,0.07846552117807892,100,43,hemingway-ernest: 1921-12-28/1922-11-08,2.051113792836173,0.0879781914159644,0.12358250870201982,0.08857826149069492
hemingway-ernest,1921-12-28,1922-11-08,a-e-collected-poems,-0.2965266175824619,-2.327961291360779,0.31461957837130866,0.023630698664131672,0.007806447466586978,0.13837742983561405,0.019148313087910287,-0.5791431890631342,100,9,hemingway-ernest: 1921-12-28/1922-11-08,2.0885551642475084,0.02561068267283974,0.13837742983561405,0.023630698664131672
hemingway-ernest,1921-12-28,1922-11-08,a-e-imaginations-reveries,-0.27310446032587027,-3.029519189494058,0.34958690656156083,0.03771808161711729,-0.23826634877693192,0.10221918275682755,0.01044876132347371,0.5280281396576196,100,40,hemingway-ernest: 1921-12-28/1922-11-08,3.062207921734872,0.036570515370338896,0.10221918275682755,0.03771808161711729
hemingway-ernest,1921-12-28,1922-11-08,abercrombie-speculative-dialogues,-0.4434549110265562,-1.9920227251843572,0.18958910260767906,-0.17313051293734993,0.205245802264016,0.14393065740331856,0.020716034140551464,-0.8800486897395885,100,92,hemingway-ernest: 1921-12-28/1922-11-08,2.4062342205915273,-0.1567417706284214,0.14393065740331856,-0.17313051293734993
hemingway-ernest,1921-12-28,1922-11-08,abercrombie-thomas-hardy-critical,-0.13290799297523528,-2.332257111330134,0.2649759783419918,0.021891559686178057,0.6238708570290582,0.0722672031894996,0.0052225486568324205,1.5080500430602624,100,26,hemingway-ernest: 1921-12-28/1922-11-08,3.1734765238002156,0.03563770557941484,0.0722672031894996,0.021891559686178057
hemingway-ernest,1921-12-28,1922-11-08,ade-fables-slang,-0.1390523608350652,-2.625936307858361,0.11322687340831214,-0.02913875885190091,0.12139352208790337,0.04232418114027468,0.0017913363091947832,0.573927033990782,100,92,hemingway-ernest: 1921-12-28/1922-11-08,3.3347043341247744,-0.027911756878443845,0.04232418114027468,-0.02913875885190091
hemingway-ernest,1921-12-28,1922-11-08,aiken-turns-movies-tales,-0.38888965410586207,-2.4218542812045554,0.13327928622418533,-0.13278878632605196,-0.14901478572405102,0.11489839805631767,0.013201641875908023,-0.3685608453614009,100,0,hemingway-ernest: 1921-12-28/1922-11-08,2.1227603449637336,-0.11062247686962394,0.11489839805631767,-0.13278878632605196
hemingway-ernest,1921-12-28,1922-11-08,aldrich-hilltop-marne,-0.16100348304915613,-2.5735015780027837,0.17710622394132497,0.02560355884534994,-0.043889129582045674,0.07240613683318498,0.005242648651105905,-0.3461648291537238,100,50,hemingway-ernest: 1921-12-28/1922-11-08,2.0961261880724202,0.0253338243481309,0.07240613683318498,0.02560355884534994
hemingway-ernest,1921-12-28,1922-11-08,andersen-nexo-ditte-daughter-man,-0.057876489591118976,-2.4676769271459906,0.3955590380733385,0.16064882503222905,0.35116550845597344,0.09448337455128918,0.0089271080665992,-0.1732863703369647,100,40,hemingway-ernest: 1921-12-28/1922-11-08,2.3314269344367187,0.17527795378799005,0.09448337455128918,0.16064882503222905
hemingway-ernest,1921-12-28,1922-11-08,anderson-marching-men,-0.34960032687847936,-3.1668740212294306,0.5606149563099686,0.10314812585463348,0.011890325047335153,0.140311161345912,0.019687221998238552,1.215946072189349,100,61,hemingway-ernest: 1921-12-28/1922-11-08,3.3202455668158524,0.09474744487642045,0.140311161345912,0.10314812585463348
hemingway-ernest,1921-12-28,1922-11-08,anderson-poor-white,-0.5934966330788528,-2.228531256932311,0.38761512179014446,-0.12558872042839886,0.0803368140052145,0.20527530672367217,0.04213795155049769,-0.2880954837391978,100,73,hemingway-ernest: 1921-12-28/1922-11-08,2.5509610771831794,-0.13603419576878198,0.20527530672367217,-0.12558872042839886
hemingway-ernest,1921-12-28,1922-11-08,anderson-triumph-egg,-0.6298273550028005,-2.7772382505307336,0.41893702848335296,-0.10593633175107665,0.059130487350170007,0.18591194423622895,0.0345632510096947,0.5271034713863489,100,44,hemingway-ernest: 1921-12-28/1922-11-08,2.8639505810676353,-0.11350559223940873,0.18591194423622895,-0.10593633175107665
hemingway-ernest,1921-12-28,1922-11-08,anderson-windy-mcphersons,-0.5282125120783429,-3.0769041696944726,0.3238407065384418,-0.08477062789557795,-0.010802753123892722,0.1512718630481478,0.022883176550057584,0.12503721465590623,100,73,hemingway-ernest: 1921-12-28/1922-11-08,2.5556913536751815,-0.0627634859080457,0.1512718630481478,-0.08477062789557795
hemingway-ernest,1921-12-28,1922-11-08,anderson-winesburg-ohio-group,-0.49128602979434105,-2.9020294842612744,0.4764646887276502,-0.011466983661625536,-0.0218824829334101,0.16783865037713563,0.028169812560418374,0.49434335067741486,100,67,hemingway-ernest: 1921-12-28/1922-11-08,2.8639291691683297,-0.004213317801273691,0.16783865037713563,-0.011466983661625536
hemingway-ernest,1921-12-28,1922-11-08,andreyev-king-loses-head,-0.19903585312981162,-2.1253536330239458,0.36323868069936,0.045671772174747424,0.10239544905176735,0.11892460050610067,0.01414306060553564,-0.7359640982517397,100,31,hemingway-ernest: 1921-12-28/1922-11-08,2.60263814862873,0.053720978611750805,0.11892460050610067,0.045671772174747424
