item_id,median,skew,std,var,kurtosis,score,model_run,period
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.8098434421157071,0,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.1486791146464673,1,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.6069498667672676,2,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.2190795361178818,3,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.1724414157698233,4,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.4468117291295942,5,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.3770096191502816,6,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.3003305557265207,7,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.5982009500988759,8,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.2645077916870659,9,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.4651362242816668,10,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.6358191551326362,11,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,-0.1280229543805449,12,1921-12-28/1922-11-08
burney-evelina-history-young,0.320107439746844,-0.0480814170422831,0.1891597230103548,0.0357814008093541,0.023805807025004,0.3707487695197187,13,1921-12-28/1922-11-08
