author,title,pub_date,item_uri,acq_date
"Leishman, James Blair","The Metaphysical Poets: Donne, Herbert, Vaughan, Traherne",1934,https://shakespeareandco.princeton.edu/books/leishman-metaphysical-poets-donne/,1935-01
"Breuer, Bessie",Memory of Love,1935,https://shakespeareandco.princeton.edu/books/breuer-memory-love/,1935-02
"Rogers, Samuel",Dusk at the Grove,1934,https://shakespeareandco.princeton.edu/books/rogers-dusk-grove/,1935-02
"Saroyan, William",The Daring Young Man on the Flying Trapeze,1934,https://shakespeareandco.princeton.edu/books/saroyan-daring-young-man/,1935-02
"Hanley, James ",The Furys,1935,https://shakespeareandco.princeton.edu/books/hanley-furys/,1935-02
"Woollcott, Alexander",While Rome Burns,1934,https://shakespeareandco.princeton.edu/books/woollcott-rome-burns/,1935-02
"Richards, I. A.",Coleridge on Imagination,1934,https://shakespeareandco.princeton.edu/books/richards-coleridge-imagination/,1935-02
"Carr, John Dickson (pseudonym) Carter Dickson",The White Priory Murders,1934,https://shakespeareandco.princeton.edu/books/carr-white-priory-murders/,1935-02
"Frome, David (pseudonym) Zenith Jones Brown",Mr. Pinkerton Finds a Body,1935,https://shakespeareandco.princeton.edu/books/brown-mr-pinkerton-finds/,1935-02
"Rowse, A. L. and G. B. Harrison",Queen Elizabeth and Her Subjects,1935,https://shakespeareandco.princeton.edu/books/rowse-queen-elizabeth-subjects/,1935-02
"Murry, John Middleton",Between Two Worlds: AN Autobiography,1935,https://shakespeareandco.princeton.edu/books/murry-two-worlds-autobiography/,1935-02
"Stern, G. B.",Shining and Free: A Day in the Life of a Matriarch,1935,https://shakespeareandco.princeton.edu/books/stern-shining-free/,1935-03
"Hanighen, Frank Cleary",The Secret War: The War For Oil,1934,https://shakespeareandco.princeton.edu/books/hanighen-secret-war-war/,1935-03
"Kendrake, Carleton",The Clew of the Forgotten Murder,1934,https://shakespeareandco.princeton.edu/books/kendrake-clew-forgotten-murder/,1935-03
"James, Henry",The Art of the Novel: Critical Prefaces,1934,https://shakespeareandco.princeton.edu/books/james-art-novel-critical/,1935-03
"Buck, Pearl S. ",A House Divided,1935,https://shakespeareandco.princeton.edu/books/buck-house-divided/,1935-03
"Pound, Ezra",ABC of Reading,1934,https://shakespeareandco.princeton.edu/books/pound-abc-reading/,1935-03
"Charteris, Leslie",The Saint in New York,1935,https://shakespeareandco.princeton.edu/books/charteris-saint-new-york/,1935-03
"West, Rebecca",The Harsh Voice: Four Short Novels,1935,https://shakespeareandco.princeton.edu/books/west-harsh-voice-four/,1935-03
"Pound, Ezra",Eleven New Cantos: XXXI - XLI,1934,https://shakespeareandco.princeton.edu/books/pound-eleven-new-cantos/,1935-03
"Mann, Thomas",Young Joseph,1934,https://shakespeareandco.princeton.edu/books/mann-young-joseph/,1935-03
"Ferber, Edna",Come and Get It,1935,https://shakespeareandco.princeton.edu/books/ferber-come-get/,1935-04
"Wolfe, Thomas",Of Time and the River: A Legend of Man's Hunger in His Youth,1935,https://shakespeareandco.princeton.edu/books/wolfe-time-river-legend/,1935-04
"Linklater, Eric ",Ripeness is All,1935,https://shakespeareandco.princeton.edu/books/linklater-ripeness/,1935-04
"Chesterton, G. K. ",The Scandal of Father Brown,1935,https://shakespeareandco.princeton.edu/books/chesterton-scandal-father-brown/,1935-04
"Faulkner, William",Pylon,1935,https://shakespeareandco.princeton.edu/books/faulkner-pylon/,1935-04
"Powys, T. F.",Captain Patch,1935,https://shakespeareandco.princeton.edu/books/powys-captain-patch/,1935-04
"Queen, Ellery (Dannay, Frederic and Manfred B. Lee",The Spanish Cove Mystery,1935,https://shakespeareandco.princeton.edu/books/queen-spanish-cape-mystery/,1935-04
"Swinnerton, Frank",The Georgian Literary Scene,1935,https://shakespeareandco.princeton.edu/books/swinnerton-georgian-literary-scene/,1935-04
"Walling, R. A. J.",The Corpse in the Green Pyjamas,1935,https://shakespeareandco.princeton.edu/books/walling-corpse-green-pyjamas/,1935-04
"Morre, Marianne",The Selected Poems of Marianne Moore,1935,https://shakespeareandco.princeton.edu/books/moore-selected-poems-marianne/,1935-04
"Stein, Gertrude",Lectures in America,1935,https://shakespeareandco.princeton.edu/books/stein-lectures-america/,1935-04
"du Maurier, Daphne",The Loving Spirit,1931,https://shakespeareandco.princeton.edu/books/du-maurier-loving-spirit/,1935-04
"Dimnet, Ernest",My Old World,1935,https://shakespeareandco.princeton.edu/books/dimnet-old-world/,1935-05
"Einstein, Albert",The World as I See It,1934,https://shakespeareandco.princeton.edu/books/einstein-world-see/,1935-05
"Zinsser, Hans","Rats, Lice and History",1935,https://shakespeareandco.princeton.edu/books/zinsser-rats-lice-history/,1935-05
"Eliot, T. S.",Murder in the Cathedral,1935,https://shakespeareandco.princeton.edu/books/eliot-murder-cathedral/,1935-05
"Royde-Smith, Naomi",Jake,1935,https://shakespeareandco.princeton.edu/books/royde-smith-jake/,1935-05
"Mitchison, Naomi",We Have Been Warned,1935,https://shakespeareandco.princeton.edu/books/mitchison-warned/,1935-05
"Spender, Stephan",The Destructive Element: A Study of Mordern Writers and Beliefs,1935,https://shakespeareandco.princeton.edu/books/spender-destructive-element-study/,1935-05
"Sheean, Vincent",In Search of History,1935,https://shakespeareandco.princeton.edu/books/sheean-search-history/,1935-05
"Butts, Mary",Scenes From the Life of Cleopatra,1935,,1935-05
"Auden, W. H. and Christopher Isherwood",The Dog Beneath the Skin,1935,https://shakespeareandco.princeton.edu/books/auden-dog-beneath-skin/,1935-05
"Powys, John Cowper",The Art of Happiness,1935,https://shakespeareandco.princeton.edu/books/powys-art-happiness/,1935-06
"Maugham, M. Somerset",Don Fernando,1935,https://shakespeareandco.princeton.edu/books/maugham-don-fernando/,1935-06
"Chilton, Eleanor Carroll",Follow the Furies,1935,https://shakespeareandco.princeton.edu/books/chilton-follow-furies/,1935-07
"O'Neill, Joseph",Land Under England,1935,https://shakespeareandco.princeton.edu/books/oneill-land-england/,1935-07
"Steen, Marguerite",The One-Eyed Moon,1935,https://shakespeareandco.princeton.edu/books/steen-one-eyed-moon/,1935-07
"Rylee, Robert",Deep Dark River,1935,https://shakespeareandco.princeton.edu/books/rylee-deep-dark-river/,1935-08
"Johnson, Josephine Winslow",Now in November,1934,https://shakespeareandco.princeton.edu/books/johnson-now-november/,1935-08
"Hobart, Alice Tisdale",Oil For the Lamps of Chine,1933,https://shakespeareandco.princeton.edu/books/hobart-oil-lamps-china/,1935-08
"Hoyt, Nancy",Elinor Wylie: The Portrait of an Unknown Lady,1935,https://shakespeareandco.princeton.edu/books/hoyt-elinor-wylie-portrait/,1935-08
"Boyd, James",Roll River,1935,https://shakespeareandco.princeton.edu/books/boyd-roll-river/,1935-08
"Young, Francis Brett",White Ladies,1935,https://shakespeareandco.princeton.edu/books/young-white-ladies/,1935-08
"Yeats, William Butler",Wheels and Butterflies,1934,https://shakespeareandco.princeton.edu/books/yeats-wheels-butterflies/,1935-08
"Vaughan, Hilda",The Curtain Rises,1935,https://shakespeareandco.princeton.edu/books/vaughan-curtain-rises/,1935-08
"Bowen, Elizabeth",The House in Paris,1935,https://shakespeareandco.princeton.edu/books/bowen-house-paris/,1935-08
"Bowen, Elizabeth",To the North,1932,https://shakespeareandco.princeton.edu/books/bowen-north/,1935-08
"Haskell, Arnold L. and Walter Nouvel",Diaghileff: His Artistic and Private Life,1935,https://shakespeareandco.princeton.edu/books/haskell-diaghileff-artistic-private/,1935-08
"Macleish, Archibald",Panic,1935,https://shakespeareandco.princeton.edu/books/macleish-panic/,1935-08
"Bridge, Ann (pseudonym) Mary Ann Dolling (Sanders) Lady O' Malley",Illyrian Spring,1935,https://shakespeareandco.princeton.edu/books/bridge-illyrian-spring/,1935-08
"Hanley, James ",Stoker Bush,1935,https://shakespeareandco.princeton.edu/books/hanley-stoker-bush/,1935-08
"Leavis, F. R. ",New Bearings in Eglish Poetry,1932,https://shakespeareandco.princeton.edu/books/leavis-new-bearings-english/,1935-08
"Wardale, E. E.",Chapters on Old English Literature,1935,,1935-08
"Isherwood, Christopher",Mr. Norris Changes Trains,1935,https://shakespeareandco.princeton.edu/books/isherwood-mr-norris-changes/,1935-08
"Chambers, Jessie",D. H. Lawrence: A Personal Record by E. T.,1935,https://shakespeareandco.princeton.edu/books/chambers-h-lawrence-personal/,1935-08
"Cather, Willa",Lucy Gayheart,1935,https://shakespeareandco.princeton.edu/books/cather-lucy-gayheart/,1935-08
"Davis, H. L. ",Honey in the Horn,1935,https://shakespeareandco.princeton.edu/books/davis-honey-horn/,1935-08
