author,title,pub_date,item_uri,acq_date
"Morgan, Charles",Sparkenbroke,1936,https://shakespeareandco.princeton.edu/books/morgan-sparkenbroke/,1936-03
"Tate, Allen",Reactionary Essays on Poetry and Ideas,1936,https://shakespeareandco.princeton.edu/books/tate-reactionary-essays-poetry/,1936-03
"Forster, E. M.",Abinger Harvest,1936,https://shakespeareandco.princeton.edu/books/forster-abinger-harvest/,1936-03
"Eliot, T. S.","Collected Poems, 1909-1935",1936,https://shakespeareandco.princeton.edu/books/eliot-collected-poems-1909/,1936-03
"Spender, Stephen",The Burning Cactus,1936,https://shakespeareandco.princeton.edu/books/spender-burning-cactus/,1936-03
"Kent, Rockwell",Salamina,1935,https://shakespeareandco.princeton.edu/books/kent-salamina/,1936-03
"Haliburton, Richard",Saven League Boots,1935,https://shakespeareandco.princeton.edu/books/halliburton-seven-league-boots/,1936-03
"Perry, Bliss",And Gladly Teach: Reminiscences,1935,https://shakespeareandco.princeton.edu/books/perry-gladly-teach-reminiscences/,1936-04
"Barker, George",Poems,1935,,1936-04
"Saroyan, William",Inahale & Exhale,1936,https://shakespeareandco.princeton.edu/books/saroyan-inhale-exhale/,1936-05
"Boyle, Kay",The White House of Vienna,1936,https://shakespeareandco.princeton.edu/books/boyle-white-horses-vienna/,1936-05
,New Writing No. 1 Spring 1936,1936,https://shakespeareandco.princeton.edu/books/lehmann-new-writing/,1936-05
"Buck, Pearl S.",The Exile,1936,https://shakespeareandco.princeton.edu/books/buck-exile/,1936-05
,The English Novelists: A Survey of the Novel by Twenty Contemporary Novelists,1936,https://shakespeareandco.princeton.edu/books/verschoyle-english-novelists-survey/,1936-05
"Sherriff, R. C.",Greengates: A Novel,1936,https://shakespeareandco.princeton.edu/books/sherriff-greengates-novel/,1936-05
"MacLeish, Archibald",Public Speech: Poems,1936,https://shakespeareandco.princeton.edu/books/macleish-public-speech-poems/,1936-05
"Williamson, Henry",The Flax of Dreams,1936,https://shakespeareandco.princeton.edu/books/williamson-flax-dream/,1936-05
"Jenkins, Elizabeth",The Phoenix' Nest,1936,https://shakespeareandco.princeton.edu/books/jenkins-phoenix-nest/,1936-05
"Negley, Farson",The Way of the Transgressor,1936,https://shakespeareandco.princeton.edu/books/farson-way-transgressor/,1936-05
"Cozzens, James Gould",Men and Brethren,1936,https://shakespeareandco.princeton.edu/books/cozzens-men-brethren/,1936-05
"Luhan, Mabel Dodge ",European Experiences (Intimate Memories 2),1935,https://shakespeareandco.princeton.edu/books/luhan-european-experiences-intimate/,1936-05
"De Kruif, Paul",Why Keep Them Alive?,1936,https://shakespeareandco.princeton.edu/books/de-kruif-keep-alive/,1936-05
"West, Rebecca",The Thinking Reed,1936,https://shakespeareandco.princeton.edu/books/west-thinking-reed/,1936-05
"Santayana, George",The Last Puritan: A Memoir in the Form of a Novel,1936,https://shakespeareandco.princeton.edu/books/santayana-last-puritan-memoir/,1936-05
"Tarkington, Booth",The Lorenzi Bunch,1936,https://shakespeareandco.princeton.edu/books/tarkington-lorenzo-bunch/,1936-05
"Stravinsky, Igor",Chronicle of My Life,1936,https://shakespeareandco.princeton.edu/books/stravinsky-chronicle-life/,1936-05
"Yeats, William Butler","Dramatic Personae, 1896-1902",1936,https://shakespeareandco.princeton.edu/books/yeats-dramatis-personae-1896/,1936-05
,Famous Plays of 1935-6,1936,https://shakespeareandco.princeton.edu/books/famous-plays-1935-36/,1936-06
"Nordhoff, Charles and James Norman Hall",The Hurricane,1936,https://shakespeareandco.princeton.edu/books/hurricane/,1936-06
"Hilton, James",Without Armor,1935,,1936-06
"Thompson, Sylvia",Third Act in Venice,1936,https://shakespeareandco.princeton.edu/books/thompson-third-act-venice/,1936-06
"Lewis, Lloyd and Henry Justin Smith",Oscar Wilde Discovers America 1882,1936,https://shakespeareandco.princeton.edu/books/lewis-oscar-wilde-discovers/,1936-06
"Steen, Marguerite",Return of a Heroine,1936,https://shakespeareandco.princeton.edu/books/steen-return-heroine/,1936-06
,Beginnings: Essays by Adrian Alington and Other Writers of Fiction on Their Own Lieterary Beginnings,1935,https://shakespeareandco.princeton.edu/books/beginnings/,1936-06
"Lehmann, Rosamond",The Weather in the Streets,1936,https://shakespeareandco.princeton.edu/books/lehmann-weather-streets/,1936-06
"Huxley, Aldous",Eyeless in Gaza,1936,https://shakespeareandco.princeton.edu/books/huxley-eyeless-gaza/,1936-06
"Delafield, E. M.",Faster! Faster!,1936,https://shakespeareandco.princeton.edu/books/delafield-faster-faster/,1936-06
"Beresford, J. D.",The Faithful Lovers,1936,https://shakespeareandco.princeton.edu/books/beresford-faithful-lovers/,1936-06
"Mackenzie, Compton",Figure of Eight,1936,https://shakespeareandco.princeton.edu/books/mackenzie-figure-eight/,1936-06
"Bentley, Edmund Clerihew",Trent's Own Case,1936,https://shakespeareandco.princeton.edu/books/bentley-trents-case/,1936-06
"Walling, R. A. J. ",The Corpse in the Crimson Slippers,1936,https://shakespeareandco.princeton.edu/books/walling-corpse-crimson-slippers/,1936-07
"Steed, Henry Wickham",Vital Peace: A Study if Risks,1936,https://shakespeareandco.princeton.edu/books/steed-vital-peace-study/,1936-07
"Christie, Agatha",Murder in Mesopotamia,1936,https://shakespeareandco.princeton.edu/books/christie-murder-mesopotamia/,1936-07
"Street, Cecil, Miles Burton, John Rhode",In Face of the Verdict,1936,https://shakespeareandco.princeton.edu/books/street-face-verdict/,1936-07
"Queen, Ellery (pseudonym) Dannay, Frederick and Manfred B. Lee",Half-Way House,1936,https://shakespeareandco.princeton.edu/books/queen-ellery-queen/,1936-07
"Priestley, J. B. ",They Walk in the City: The Lovers in the Stone Forest,1936,https://shakespeareandco.princeton.edu/books/priestley-walk-city-lovers/,1936-07
"Hanley, James",The Secret Journey,1936,https://shakespeareandco.princeton.edu/books/hanley-secret-journey/,1936-07
"Wilson, Edmund",Travels in Two Democracies,1936,https://shakespeareandco.princeton.edu/books/wilson-travels-two-democracies/,1936-07
"Dos Passos, John",The Big Money,1936,https://shakespeareandco.princeton.edu/books/big-money/,1936-08
"Young, Francis Brett",Far Forest,1936,https://shakespeareandco.princeton.edu/books/young-far-forest/,1936-08
"Walpole, Hugh",A Prayer For My Son,1936,https://shakespeareandco.princeton.edu/books/walpole-prayer/,1936-08
"Lewis, C. Day",Revolution in Writing,1935,https://shakespeareandco.princeton.edu/books/day-lewis-revolution-writing/,1936-08
"Hindus, Maurice Gerschon",Under Moscow Skies,1936,https://shakespeareandco.princeton.edu/books/hindus-moscow-skies/,1936-09
"Dugdale, Blanche","Arthur James Balfour, First Earl of Balfour, K. G., O. M., F. R. S. etc.",1936,https://shakespeareandco.princeton.edu/books/dugdale-arthur-james-balfour/,1936-10
"De la Roche, Mazo",Whiteoak Harvest,1936,https://shakespeareandco.princeton.edu/books/de-la-roche-whiteoak-harvest/,1936-10
"Breton, Andre",What is Surrealism?,1936,https://shakespeareandco.princeton.edu/books/breton-surrealism/,1936-10
"Crofts, Freeman Wills",Man Overboard,1936,,1936-10
"Hone, Joseph M. ",The Life of George Moore,1936,https://shakespeareandco.princeton.edu/books/hone-life-george-moore/,1936-10
,The Faber Book of Modern Verse,1936,https://shakespeareandco.princeton.edu/books/roberts-faber-book-modern/,1936-10
"Sheean, Vincent",Sanfelice,1936,https://shakespeareandco.princeton.edu/books/sheean-sanfelice/,1936-10
"Twain, Mark",Mark Twain's Notebook,1935,,1936-10
"Wolff, Dr. Charlotte",Studies in Hand reading,1936,,1936-10
"Lawrence, D. H. ",Phoenix: The Posthumous Papers of D. H. Lawrence,1936,https://shakespeareandco.princeton.edu/books/lawrence-phoenix-posthumous-papers/,1936-11
"Yeats-Brown, Francis",Lancer at Large,1936,https://shakespeareandco.princeton.edu/books/yeats-brown-lancer-large/,1936-11
"Masefield, John","Eggs and Baker, Or, The Days of Trial",1936,https://shakespeareandco.princeton.edu/books/masefield-eggs-baker-days/,1936-11
"Priestley, J. B.",Laburnum Grove,1934,https://shakespeareandco.princeton.edu/books/priestley-laburnum-grove/,1936-11
"Christie, Agatha",Cards on the Tablle,1936,https://shakespeareandco.princeton.edu/books/christie-cards-table/,1936-11
"Russell, Bertrand",Which Way to Peace?,1936,https://shakespeareandco.princeton.edu/books/russell-way-peace/,1936-11
"David-Neel, Alexandra",Tibetan Journey,1936,,1936-11
,New Writing Autum 1936 No. 2,1936,https://shakespeareandco.princeton.edu/books/lehmann-new-writing/,1936-11
"Powys, John Cooper",Autobiograohy,1934,https://shakespeareandco.princeton.edu/books/powys-autobiography/,1936-11
"Stivens, Dal",The Tramp and Other Stories,1936,https://shakespeareandco.princeton.edu/books/stivens-tramp-stories/,1936-11
"Holmboe, Knud",Desert Encounter,1936,https://shakespeareandco.princeton.edu/books/holmboe-desert-encounter/,1936-11
"Wodehouse, P.G.",Luaughing Gas,1936,https://shakespeareandco.princeton.edu/books/wodehouse-laughing-gas/,1936-11
"O'Brien, Edward","The Best Short Stories of 1936, English and American",1936,https://shakespeareandco.princeton.edu/books/obrien-best-short-stories-1936/,1936-11
,Living China: Modern Chinese Short Stories,1936,https://shakespeareandco.princeton.edu/books/snow-living-china-modern/,1936-11
"Mann, Thomas",Stories of Three Decades,1936,https://shakespeareandco.princeton.edu/books/mann-stories-three-decades/,1936-11
"Chesterton, G. K.",The Autobiography of G. K. Chesterton,1936,https://shakespeareandco.princeton.edu/books/chesterton-autobiography-g-k/,1936-11
"Frost, Robert",Selected Poems,1936,https://shakespeareandco.princeton.edu/books/frost-selected-poems/,1936-11
"Waugh, Evelyn",Waugh in Abysinnia,1936,https://shakespeareandco.princeton.edu/books/waugh-waugh-abyssinia/,1936-11
"Tolstaya, Sophia, Countess Tolstoy",The Final Struggle,1936,https://shakespeareandco.princeton.edu/books/tolstoi-final-struggle/,1936-11
"Dugdale, Blanche","Arthur James Balfour, First Earl of Balfour, Vol 2",1936,https://shakespeareandco.princeton.edu/books/dugdale-arthur-james-balfour/,1936-11
"Strachey, John",The Theory and Practice of Socialism,1936,https://shakespeareandco.princeton.edu/books/strachey-theory-practice-socialism/,1936-11
"Auden, W. F. and Christopher Isherwood",The Ascent of F6,1936,https://shakespeareandco.princeton.edu/books/auden-ascent-f6/,1936-11
,Surrealism,1936,https://shakespeareandco.princeton.edu/books/surrealism/,1936-11
"Longford, Christine",A Biography of Dublin,1936,,1936-11
"Auden, W. H. ","Look, Stranger!",1936,https://shakespeareandco.princeton.edu/books/auden-look-stranger/,1936-11
"Barnes, Djuna",Nightwood,1936,https://shakespeareandco.princeton.edu/books/barnes-nightwood/,1936-11
"Gow, Andrew Sydenham Farrar",A. E. Houseman: A Sketch,1936,https://shakespeareandco.princeton.edu/books/gow-e-housman-sketch/,1936-11
"Lewis, C. Day",The Friendly Tree,1936,https://shakespeareandco.princeton.edu/books/day-lewis-friendly-tree/,1936-11
,Our Freedom and Its Results,1936,https://shakespeareandco.princeton.edu/books/strachey-freedom-results/,1936-11
"Gwynn, Stephan",The Life and Friendships of Dean Swift,1933,https://shakespeareandco.princeton.edu/books/gwynn-life-friendships-dean/,1936-11
"Mitchell, Mrgaret",Gone With the Wind,1936,https://shakespeareandco.princeton.edu/books/mitchell-gone-wind/,1936-11
"Sykes, Christopher","Wassmuss ""The German Lawrence""",1936,,1936-11
"Pilat, Oliver",Sea-Mary,1936,https://shakespeareandco.princeton.edu/books/pilat-sea-mary/,1936-11
"Chamson, Andre",Barren Harvest,1935,,1936-11
"Herring, Robert",Cactus Coast,1934,,1936-11
"Manhood, H. A.",Apples by Night,1932,https://shakespeareandco.princeton.edu/books/manhood-apples-night/,1936-11
"Wells, H. G.",The Anatomy of Frustration: A Modern Synthesis,1936,https://shakespeareandco.princeton.edu/books/wells-anatomy-frustration-modern/,1936-11
"Sterne, Lawrence",The Letters of Lawrence Sterne,1935,https://shakespeareandco.princeton.edu/books/sterne-letters-laurence-sterne/,1936-11
"Donner, H. W.",Thomas Lovell Deddoes: The Making of a Poet,1935,,1936-11
"de la Mare, Walter",The Wind Blows Over,1936,https://shakespeareandco.princeton.edu/books/de-la-mare-wind-blows/,1936-11
,"The Oxford Book of Modern Verse, 1892-1935",1936,https://shakespeareandco.princeton.edu/books/yeats-oxford-book-modern/,1936-11
"Huxley, Aldous",The Olive Tree and Other Stories,1936,https://shakespeareandco.princeton.edu/books/huxley-olive-tree-stories/,1936-12
"Wells, H. G. ",The Croquet Player,1936,https://shakespeareandco.princeton.edu/books/wells-croquet-player/,1936-12
"Faulkner, William","Absalom, Absalom!",1936,https://shakespeareandco.princeton.edu/books/faulkner-absalom-absalom/,1936-12
"Van Dine, S. S. (pseudonym) Willard Hunnington Wright",The Kidnap Murder Case,1936,https://shakespeareandco.princeton.edu/books/van-dine-kidnap-murder-case/,1936-12
"Anderson, Sherwood",Kit Brandon: A Portrait,1936,https://shakespeareandco.princeton.edu/books/anderson-kit-brandon-portrait/,1936-12
"O'Donnell, E. P.",Green Margins,1936,https://shakespeareandco.princeton.edu/books/odonnell-green-margins/,1936-12
"Boyle, Kay",Death of a Man,1936,https://shakespeareandco.princeton.edu/books/boyle-death-man/,1936-12
"O'Faolain, Sean",Bird Alone,1936,https://shakespeareandco.princeton.edu/books/ofaolain-bird-alone/,1936-12
"Burton, Miles (pseudonym) Cecil Street John Rhode",Dark is the Tunnel,1936,https://shakespeareandco.princeton.edu/books/street-dark-tunnel/,1936-12
"Eberhart, Mignon Good",Danger in the Dark,1936,https://shakespeareandco.princeton.edu/books/eberhart-danger-dark/,1936-12
"Frome, Leslie Davie (pseudonym) Zenith Jones Brown and Brenda Conrad Ford",Mr. Pinkerton Has the Clue,1936,https://shakespeareandco.princeton.edu/books/frome-mr-pinkerton-clue/,1936-12
"Housman, A. E.",More Poems,1936,https://shakespeareandco.princeton.edu/books/housman-poems/,1937-01
"Spender, Stephan",Forward From Liberalism,1937,https://shakespeareandco.princeton.edu/books/spender-forward-liberalism/,1937-01
"O'Flaherty, Liam",Famine,1937,https://shakespeareandco.princeton.edu/books/oflaherty-famine/,1937-01
"Buck, Pearl S.",Fighting Angel: Portait of a Soul,1936,https://shakespeareandco.princeton.edu/books/buck-fighting-angel/,1937-01
"Van Doren, Carl",Three Worlds,1936,https://shakespeareandco.princeton.edu/books/van-doren-three-worlds/,1937-01
"Adamic, Louis",Cradle of Life: The Story of One Man's Beginnings,1936,https://shakespeareandco.princeton.edu/books/adamic-cradle-life-story/,1937-01
"Teilhet, Darwin and Hildegard Teihet",The Crimson Hair Murders,1936,https://shakespeareandco.princeton.edu/books/teilhet-crimson-hair-murders/,1937-01
"Reilly, Helen",Dead Man Control,1936,https://shakespeareandco.princeton.edu/books/reilly-dead-man-control/,1937-01
"Brooks, Van Wyck",The Flowering of New England,1936,https://shakespeareandco.princeton.edu/books/brooks-flowering-new-england/,1937-01
"Abbe, Patience, Richard and John",Around the World in Eleven Years,1936,https://shakespeareandco.princeton.edu/books/abbe-around-world-eleven/,1937-01
"Du Maurier, Daphne",The Du Mauriers,1937,https://shakespeareandco.princeton.edu/books/du-maurier-mauriers/,1937-02
"Bailey, H. C.","Balack Land, White Land: A Reggie Fortune Detective Story",1937,https://shakespeareandco.princeton.edu/books/bailey-black-land-white/,1937-02
"Irwin, Margaret",The Stranger Prince,1937,https://shakespeareandco.princeton.edu/books/irwin-stranger-prince/,1937-02
"Foldes, Jolan and Yolanda Foldes",The Street of the Finishing Cat,1937,https://shakespeareandco.princeton.edu/books/foldes-street-fishing-cat/,1937-02
"Kipling, Rudyard",Something of Myself: For My friends Known and Unknown,1937,https://shakespeareandco.princeton.edu/books/kipling-something-friends-known/,1937-02
,From Anne to Victoria: Essays by Various Hands,1937,https://shakespeareandco.princeton.edu/books/dobree-anne-victoria-essays/,1937-02
"Bromfield, Louis",It had to Happen,1936,https://shakespeareandco.princeton.edu/books/louis-bromfield-happen/,1937-02
"Teilhet, Darwin and Hildegard Teilhet",The Feather Cloak Murders: The Second Adventure of the Baron Von Kaz,1936,https://shakespeareandco.princeton.edu/books/teilhet-feather-cloak-murders/,1937-02
"Hudson, Stephen",The Other Side,1937,,1937-02
"Queen, Ellery (psuedonym) Dannay, Frederick and Manfred B. Lee",The Door Between: A Problem in Deduction,1937,https://shakespeareandco.princeton.edu/books/queen-door-problem-deduction/,1937-02
"Sadleir, Michael",These Foolish Things,1937,https://shakespeareandco.princeton.edu/books/sadleir-foolish-things/,1937-02
"Hobart, Alice Tisdale",Yang and Yin,1936,https://shakespeareandco.princeton.edu/books/hobart-yang-yin-novel/,1937-02
"Bell, Gertrude Lowthian",The Earlier Letters of Gertrude Bell,1937,https://shakespeareandco.princeton.edu/books/bell-earlier-letters-gertrude/,1937-02
"Freud, Sigmond","Inhibitions, Symptoms, and Anxiety",1936,https://shakespeareandco.princeton.edu/books/freud-inhibitions-symptoms-anxiety/,1937-02
"Van Der Meersch, Maxence",Invasion 14,1937,https://shakespeareandco.princeton.edu/books/van-der-meersch-invasion-14/,1937-02
,Dear MIss Heber: An Eighteen Century Correspondence,1936,https://shakespeareandco.princeton.edu/books/bamford-dear-miss-heber/,1937-02
"Sayers, Dorothy L.",Busman's Honeymoon,1937,https://shakespeareandco.princeton.edu/books/sayers-busmans-honeymoon/,1937-02
"Nathan, Robert",The Enchanted Voyage,1936,,1937-02
"Harrison, G. B.","The Life and Death of Robert Devereux, Earl of Essex",1937,https://shakespeareandco.princeton.edu/books/harrison-life-death-robert/,1937-02
"Toksvig, Signe",Eve's Doctor,1937,https://shakespeareandco.princeton.edu/books/toksvig-eves-doctor/,1937-02
"Borden, Mary (psuedonym) Brigit Malagan",Action For Slander,1937,https://shakespeareandco.princeton.edu/books/borden-action-slander/,1937-02
"Kennedy, Margaret",Together and Apart,1937,https://shakespeareandco.princeton.edu/books/kennedy-together-apart/,1937-02
"Brittain, Vera",Honourable Estate: A Novel of Transition,1936,https://shakespeareandco.princeton.edu/books/brittain-honourable-estate-novel/,1937-02
"Bush, Christopher (Charlie Christmas Bush)",The Case if the Missing Minutes: A Ludovic Tavers Mystery,1936,https://shakespeareandco.princeton.edu/books/bush-case-missing-minutes/,1937-02
"Fuller, Timothy",J For Jupiter,1937,https://shakespeareandco.princeton.edu/books/fuller-jupiter/,1937-02
"Jameson, Storm ",Delicate Monster,1937,https://shakespeareandco.princeton.edu/books/jameson-delicate-monster/,1937-02
"Mannin, Ethel",Women Also Dream,1937,https://shakespeareandco.princeton.edu/books/mannin-women-also-dream/,1937-02
"Gorer, Geoffrey",Africa Dances,1935,https://shakespeareandco.princeton.edu/books/gorer-africa-dances/,1937-02
"Chesterton, G. K.",The Paradoxes of Mr. Pond,1936,https://shakespeareandco.princeton.edu/books/chesterton-paradoxes-mr-pond/,1937-02
"Browne, Douglas G. ",The May-Week Murders,1937,https://shakespeareandco.princeton.edu/books/browne-may-week-murders/,1937-02
"Priestley, J. B.",Midnight on the Desert,1937,https://shakespeareandco.princeton.edu/books/priestley-midnight-desert/,1937-02
"Coward, Noel",Present Indicative,1937,https://shakespeareandco.princeton.edu/books/coward-present-indicative/,1937-03
"Trevelyan, George Macaulay","Grey of Fallodon: The Life and Letters of Sir Edward Grey, Afterwards Viscount Grey of Fallodon",1937,https://shakespeareandco.princeton.edu/books/trevelyan-grey-fallodon-life/,1937-03
"Taylor, Phoebe Atwood",Figure Away: An Asey Mayo Mystery,1937,https://shakespeareandco.princeton.edu/books/taylor-figure-away-asey/,1937-03
"Gardner, Erle Stanley (psuedonym) Carleton Kendrake",The D. A. Calls it Murder,1937,https://shakespeareandco.princeton.edu/books/gardner-calls-murder/,1937-03
"Hawkins, Dean",In Memory of Murer,1936,https://shakespeareandco.princeton.edu/books/hawkins-memory-murder/,1937-03
"Beeding, Francis and David Pilgrim",Murdered One by One,1937,https://shakespeareandco.princeton.edu/books/palmer-murdered-one-one/,1937-03
"Fitzsimmons, Cortland",The Whispering Window,1936,https://shakespeareandco.princeton.edu/books/fitzsimmons-whispering-window/,1937-03
"Hale, Christopher (pseudonym) Frances Moyer Ross Stevens",Stormy Night,1937,https://shakespeareandco.princeton.edu/books/hale-stormy-night/,1937-03
"Post, Mortimer",Candidate For Murder,1936,https://shakespeareandco.princeton.edu/books/post-candidate-murder/,1937-03
"Hurst, Fannie",Great Laughter,1936,https://shakespeareandco.princeton.edu/books/hurst-great-laughter/,1937-03
"Luhan, Mabel Dodge",Movers and Shakers (Intimate Memories 3),1936,https://shakespeareandco.princeton.edu/books/luhan-movers-shakers-intimate/,1937-03
"Langdon-Davis, John",Behind the Spanish Barricades,1936,https://shakespeareandco.princeton.edu/books/langdon-davies-behind-spanish-barricades/,1937-03
"Lindbergh, Anne Morrow",North to the Orient,1935,https://shakespeareandco.princeton.edu/books/lindbergh-north-orient/,1937-03
"Heiser, Victor",An American Doctor's Odyssey,1936,https://shakespeareandco.princeton.edu/books/heiser-american-doctors-odyssey/,1937-03
"Quinn, Arthur Hobson",American Fiction: An Historical and Critical Survey,1936,https://shakespeareandco.princeton.edu/books/quinn-american-fiction-historical/,1937-03
"Cather, Willa",Not Under Forty,1936,https://shakespeareandco.princeton.edu/books/cather-forty/,1937-03
"O'Caset, Sean",The Flying Wasp,1937,https://shakespeareandco.princeton.edu/books/ocasey-flying-wasp/,1937-03
"Coppard, A. E.",Ninepenny Flute,1937,https://shakespeareandco.princeton.edu/books/coppard-ninepenny-flute/,1937-03
"Davies, Rhys",A Time to Laugh,1937,https://shakespeareandco.princeton.edu/books/davies-time-laugh/,1937-03
"Aldington, Richard",Very Heaven,1937,https://shakespeareandco.princeton.edu/books/aldington-heaven/,1937-03
"Richards, I. A. ",The Philosophy of Rhetoric,1936,,1937-03
"Woolf, Virgina",The Years,1937,https://shakespeareandco.princeton.edu/books/woolf-years/,1937-03
"Miller, Webb",I Found No Peace: The Journal of a Foreign Correspondent,1936,https://shakespeareandco.princeton.edu/books/miller-found-peace/,1937-03
"Powys, John Cowper",Maiden Castle,1936,https://shakespeareandco.princeton.edu/books/powys-maiden-castle/,1937-03
"Riding, Laura",A Trojan Ending,1937,https://shakespeareandco.princeton.edu/books/riding-trojan-ending/,1937-03
"Werth, Alexandra",The Destiny of France,1937,https://shakespeareandco.princeton.edu/books/werth-destiny-france/,1937-03
"Maugham, M. Sommerset",Theatre,1937,https://shakespeareandco.princeton.edu/books/maugham-theatre/,1937-03
"Christie, Agatha",Mirder in the Mews,1937,https://shakespeareandco.princeton.edu/books/christie-murder-mews/,1937-03
"Masters, Edgar Lee",Across Spoon River: AN Autobiography,1936,https://shakespeareandco.princeton.edu/books/masters-across-spoon-river/,1937-03
"Renn, Ludwid",Death Without Battle,1937,https://shakespeareandco.princeton.edu/books/renn-death-without-battle/,1937-03
"Dickson, Carter (pseudonym) John Dickson Carr",The Punch and Judy Murders,1936,https://shakespeareandco.princeton.edu/books/carr-punch-judy-murders/,1937-03
"Fox, Ralph",The Novel and the People,1937,https://shakespeareandco.princeton.edu/books/fox-novel-people/,1937-03
"Fox, Ralph",Ralph Fox: A Writer in Arms,1937,https://shakespeareandco.princeton.edu/books/fox-ralph-fox-writer/,1937-03
"Wesy, Alick",Crisis and Criticism,1937,https://shakespeareandco.princeton.edu/books/west-crisis-criticism/,1937-03
"Hilton, James",We Are Not Alone,1937,https://shakespeareandco.princeton.edu/books/hilton-alone/,1937-03
"Tomlinson, H. L.",All Hands!,1937,https://shakespeareandco.princeton.edu/books/tomlinson-hands/,1937-04
"Lagerlof, Selma",Jerusalem,1937,,1937-04
"Lagerlof, Selma",The Diary of Selma Lagerlof,1936,https://shakespeareandco.princeton.edu/books/lagerlof-diary-selma-lagerlof/,1937-04
"Wodehouse, P. G.",Lord Emsworth and Others,1937,https://shakespeareandco.princeton.edu/books/wodehouse-lord-emsworth-others/,1937-04
"Calder-Marshall, Arthur",Pie in the Sky,1937,https://shakespeareandco.princeton.edu/books/calder-marshall-pie-sky/,1937-04
"Orage, A. R.",Selected Essays and Critical Writings,1935,https://shakespeareandco.princeton.edu/books/orage-selected-essays-critical/,1937-04
"Osborn, R",Freud and Marx: A Dialectic Study,1937,https://shakespeareandco.princeton.edu/books/osborn-freud-marx-dialectical/,1937-04
"Armstrong, Hamilton Fish",We or They,1937,,1937-04
"Lowndes, Madie Belloc",The House by the Sea,1937,https://shakespeareandco.princeton.edu/books/lowndes-house-sea/,1937-04
"Orwell, George",Burmese Days,1934,https://shakespeareandco.princeton.edu/books/orwell-burmese-days/,1937-04
"Waterfield, Gordon","Lucy Duff Gordon in England, South Africa, and Egypt",1937,,1937-04
"Gogarty, Oliver St. John",As I Was Going Down Sackville Street,1931,https://shakespeareandco.princeton.edu/books/gogarty-going-sackville-street/,1937-04
"Jarrett, Cora",Strange Houses: A Tale,1936,https://shakespeareandco.princeton.edu/books/jarrett-strange-houses-tale/,1937-04
"Anderson, Edward",Thieves Like Us,1937,https://shakespeareandco.princeton.edu/books/anderson-thieves-like-us/,1937-04
"Fitzpatrick, Kathleen",They Lived in County Down,1937,https://shakespeareandco.princeton.edu/books/fitzpatrick-lived-county/,1937-04
"Saroyan, William",The Gay and Melancholy Flux,1937,https://shakespeareandco.princeton.edu/books/saroyan-gay-melancholy-flux/,1937-05
"Sayers, Dorothy L.",Unnatural Death,1927,https://shakespeareandco.princeton.edu/books/sayers-unnatural-death/,1937-06
"Sayers, Dorothy L.",Strong Poison,1930,https://shakespeareandco.princeton.edu/books/sayers-strong-poison/,1937-06
"Sayers, Dorothy L.",Whose Body?,1923,https://shakespeareandco.princeton.edu/books/sayers-whose-body/,1937-06
"Delafield, E. M.",Nothing is Safe,1937,https://shakespeareandco.princeton.edu/books/delafield-nothing-safe/,1937-06
"Rinehart, Mary Roberts",Married People,1937,https://shakespeareandco.princeton.edu/books/rinehart-married-people/,1937-06
"Butts, Mary",The Crystal Cabinet,1937,https://shakespeareandco.princeton.edu/books/butts-crystal-cabinet/,1937-06
"Orwell, George",The Road to Wigan Pier,1936,https://shakespeareandco.princeton.edu/books/orwell-road-wigan-pier/,1937-06
"Coward, Noel and Clemence Dane",Six Plays,1937,,1937-06
"Nabokov, Vladamir",Despair,1934,,1937-06
"Kastner, Erich","The Missing Miniature, or the Case of the Sensetive Butcher",1936,https://shakespeareandco.princeton.edu/books/kastner-missing-miniature-adventures/,1937-06
"Burton, Miles (pseudonym) Cecil Street John Rhode",The Clue of the Silver Cellar,1937,https://shakespeareandco.princeton.edu/books/kastner-missing-miniature-adventures/,1937-06
"Gibbs, Philip",Ordeal in England,1937,https://shakespeareandco.princeton.edu/books/gibbs-ordeal-england/,1937-07
"Caudwell, Christopher (pseudonym) Christopher St. John Sprigg",Illusion and Reality,1937,https://shakespeareandco.princeton.edu/books/sprigg-illusion-reality/,1937-07
"Jesse, F. Tennyson",Act of God,1937,https://shakespeareandco.princeton.edu/books/jesse-act-god/,1937-07
"Hopkins, Gerald Manley",The Note-Books and Papers of Gerald Manley Hopkins,1937,https://shakespeareandco.princeton.edu/books/hopkins-note-books-papers/,1937-07
"Jacob, Naomi",Time Piece,1937,https://shakespeareandco.princeton.edu/books/jacob-time-piece/,1937-07
"Horton, Philip",Hart Crane: The Life of an American Poet,1937,https://shakespeareandco.princeton.edu/books/horton-hart-crane-life/,1937-07
"Asch, Nathan",The Road: In Search of America,1937,,1937-07
"Newitt, Hilary",Women Must Choose: The Position of Women in Europe To-day,1937,https://shakespeareandco.princeton.edu/books/newitt-women-must-choose/,1937-07
"Auden, W. H. and Louis MacNiece",Letters From Iceland,1937,https://shakespeareandco.princeton.edu/books/auden-letters-iceland/,1937-08
"Drinkwater, John",Robinson of England,1937,https://shakespeareandco.princeton.edu/books/drinkwater-robinson-england/,1937-08
"Maillart, Ella K.",Forbidden Journey: From Peking to Kashmir,1937,https://shakespeareandco.princeton.edu/books/maillart-forbidden-journey-peking/,1937-09
